Date,CPI Value,Month Number,Year Number
1994-07-01,915.93,7,1994
1994-08-01,932.97,8,1994
1994-09-01,947.24,9,1994
1994-10-01,972.06,10,1994
1994-11-01,999.37,11,1994
1994-12-01,1016.46,12,1994
1995-01-01,1033.74,1,1995
1995-02-01,1044.28,2,1995
1995-03-01,1060.47,3,1995
1995-04-01,1086.24,4,1995
1995-05-01,1115.24,5,1995
1995-06-01,1140.44,6,1995
1995-07-01,1167.35,7,1995
1995-08-01,1178.91,8,1995
1995-09-01,1190.58,9,1995
1995-10-01,1207.37,10,1995
1995-11-01,1225.12,11,1995
1995-12-01,1244.23,12,1995
1996-01-01,1260.9,1,1996
1996-02-01,1273.89,2,1996
1996-03-01,1278.35,3,1996
1996-04-01,1294.46,4,1996
1996-05-01,1310.25,5,1996
1996-06-01,1325.84,6,1996
1996-07-01,1340.56,7,1996
1996-08-01,1346.46,8,1996
1996-09-01,1348.48,9,1996
1996-10-01,1352.53,10,1996
1996-11-01,1356.86,11,1996
1996-12-01,1363.24,12,1996
1997-01-01,1379.33,1,1997
1997-02-01,1386.23,2,1997
1997-03-01,1393.3,3,1997
1997-04-01,1405.56,4,1997
1997-05-01,1411.32,5,1997
1997-06-01,1418.94,6,1997
1997-07-01,1422.06,7,1997
1997-08-01,1421.78,8,1997
1997-09-01,1422.63,9,1997
1997-10-01,1425.9,10,1997
1997-11-01,1428.32,11,1997
1997-12-01,1434.46,12,1997
1998-01-01,1444.64,1,1998
1998-02-01,1451.29,2,1998
1998-03-01,1456.22,3,1998
1998-04-01,1459.71,4,1998
1998-05-01,1467.01,5,1998
1998-06-01,1467.3,6,1998
1998-07-01,1465.54,7,1998
1998-08-01,1458.07,8,1998
1998-09-01,1454.86,9,1998
1998-10-01,1455.15,10,1998
1998-11-01,1453.4,11,1998
1998-12-01,1458.2,12,1998
1999-01-01,1468.41,1,1999
1999-02-01,1483.83,2,1999
1999-03-01,1500.15,3,1999
1999-04-01,1508.55,4,1999
1999-05-01,1513.08,5,1999
1999-06-01,1515.95,6,1999
1999-07-01,1532.47,7,1999
1999-08-01,1541.05,8,1999
1999-09-01,1545.83,9,1999
1999-10-01,1564.23,10,1999
1999-11-01,1579.09,11,1999
1999-12-01,1588.56,12,1999
2000-01-01,1598.41,1,2000
2000-02-01,1600.49,2,2000
2000-03-01,1604.01,3,2000
2000-04-01,1610.75,4,2000
2000-05-01,1610.91,5,2000
2000-06-01,1614.62,6,2000
2000-07-01,1640.62,7,2000
2000-08-01,1662.11,8,2000
2000-09-01,1665.93,9,2000
2000-10-01,1668.26,10,2000
2000-11-01,1673.6,11,2000
2000-12-01,1683.47,12,2000
2001-01-01,1693.07,1,2001
2001-02-01,1700.86,2,2001
2001-03-01,1707.32,3,2001
2001-04-01,1717.22,4,2001
2001-05-01,1724.26,5,2001
2001-06-01,1733.23,6,2001
2001-07-01,1756.28,7,2001
2001-08-01,1768.57,8,2001
2001-09-01,1773.52,9,2001
2001-10-01,1788.24,10,2001
2001-11-01,1800.94,11,2001
2001-12-01,1812.65,12,2001
2002-01-01,1822.08,1,2002
2002-02-01,1828.64,2,2002
2002-03-01,1839.61,3,2002
2002-04-01,1854.33,4,2002
2002-05-01,1858.22,5,2002
2002-06-01,1866.02,6,2002
2002-07-01,1888.23,7,2002
2002-08-01,1900.5,8,2002
2002-09-01,1914.18,9,2002
2002-10-01,1939.26,10,2002
2002-11-01,1997.83,11,2002
2002-12-01,2039.78,12,2002
2003-01-01,2085.68,1,2003
2003-02-01,2118.43,2,2003
2003-03-01,2144.49,3,2003
2003-04-01,2165.29,4,2003
2003-05-01,2178.5,5,2003
2003-06-01,2175.23,6,2003
2003-07-01,2179.58,7,2003
2003-08-01,2186.99,8,2003
2003-09-01,2204.05,9,2003
2003-10-01,2210.44,10,2003
2003-11-01,2217.96,11,2003
2003-12-01,2229.49,12,2003
2004-01-01,2246.43,1,2004
2004-02-01,2260.13,2,2004
2004-03-01,2270.75,3,2004
2004-04-01,2279.15,4,2004
2004-05-01,2290.77,5,2004
2004-06-01,2307.03,6,2004
2004-07-01,2328.02,7,2004
2004-08-01,2344.08,8,2004
2004-09-01,2351.82,9,2004
2004-10-01,2362.17,10,2004
2004-11-01,2378.47,11,2004
2004-12-01,2398.92,12,2004
2005-01-01,2412.83,1,2005
2005-02-01,2427.07,2,2005
2005-03-01,2441.87,3,2005
2005-04-01,2463.11,4,2005
2005-05-01,2475.18,5,2005
2005-06-01,2474.68,6,2005
2005-07-01,2480.87,7,2005
2005-08-01,2485.09,8,2005
2005-09-01,2493.79,9,2005
2005-10-01,2512.49,10,2005
2005-11-01,2526.31,11,2005
2005-12-01,2535.4,12,2005
2006-01-01,2550.36,1,2006
2006-02-01,2560.82,2,2006
2006-03-01,2571.83,3,2006
2006-04-01,2577.23,4,2006
2006-05-01,2579.81,5,2006
2006-06-01,2574.39,6,2006
2006-07-01,2579.28,7,2006
2006-08-01,2580.57,8,2006
2006-09-01,2585.99,9,2006
2006-10-01,2594.52,10,2006
2006-11-01,2602.56,11,2006
2006-12-01,2615.05,12,2006
2007-01-01,2626.56,1,2007
2007-02-01,2638.12,2,2007
2007-03-01,2647.88,3,2007
2007-04-01,2654.5,4,2007
2007-05-01,2661.93,5,2007
2007-06-01,2669.38,6,2007
2007-07-01,2675.79,7,2007
2007-08-01,2688.37,8,2007
2007-09-01,2693.21,9,2007
2007-10-01,2701.29,10,2007
2007-11-01,2711.55,11,2007
2007-12-01,2731.62,12,2007
2008-01-01,2746.37,1,2008
2008-02-01,2759.83,2,2008
2008-03-01,2773.08,3,2008
2008-04-01,2788.33,4,2008
2008-05-01,2810.36,5,2008
2008-06-01,2831.16,6,2008
2008-07-01,2846.16,7,2008
2008-08-01,2854.13,8,2008
2008-09-01,2861.55,9,2008
2008-10-01,2874.43,10,2008
2008-11-01,2884.78,11,2008
2008-12-01,2892.86,12,2008
2009-01-01,2906.74,1,2009
2009-02-01,2922.73,2,2009
2009-03-01,2928.57,3,2009
2009-04-01,2942.63,4,2009
2009-05-01,2956.46,5,2009
2009-06-01,2967.1,6,2009
2009-07-01,2974.22,7,2009
2009-08-01,2978.68,8,2009
2009-09-01,2985.83,9,2009
2009-10-01,2994.19,10,2009
2009-11-01,3006.47,11,2009
2009-12-01,3017.59,12,2009
2010-01-01,3040.22,1,2010
2010-02-01,3063.93,2,2010
2010-03-01,3079.86,3,2010
2010-04-01,3097.42,4,2010
2010-05-01,3110.74,5,2010
2010-06-01,3110.74,6,2010
2010-07-01,3111.05,7,2010
2010-08-01,3112.29,8,2010
2010-09-01,3126.29,9,2010
2010-10-01,3149.74,10,2010
2010-11-01,3175.88,11,2010
2010-12-01,3195.89,12,2010
2011-01-01,3222.42,1,2011
2011-02-01,3248.2,2,2011
2011-03-01,3273.86,3,2011
2011-04-01,3299.07,4,2011
2011-05-01,3314.58,5,2011
2011-06-01,3319.55,6,2011
2011-07-01,3324.86,7,2011
2011-08-01,3337.16,8,2011
2011-09-01,3354.85,9,2011
2011-10-01,3369.28,10,2011
2011-11-01,3386.8,11,2011
2011-12-01,3403.73,12,2011
2012-01-01,3422.79,1,2012
2012-02-01,3438.19,2,2012
2012-03-01,3445.41,3,2012
2012-04-01,3467.46,4,2012
2012-05-01,3479.94,5,2012
2012-06-01,3482.72,6,2012
2012-07-01,3497.7,7,2012
2012-08-01,3512.04,8,2012
2012-09-01,3532.06,9,2012
2012-10-01,3552.9,10,2012
2012-11-01,3574.22,11,2012
2012-12-01,3602.46,12,2012
2013-01-01,3633.44,1,2013
2013-02-01,3655.24,2,2013
2013-03-01,3672.42,3,2013
2013-04-01,3692.62,4,2013
2013-05-01,3706.28,5,2013
2013-06-01,3715.92,6,2013
2013-07-01,3717.03,7,2013
2013-08-01,3725.95,8,2013
2013-09-01,3738.99,9,2013
2013-10-01,3760.3,10,2013
2013-11-01,3780.61,11,2013
2013-12-01,3815.39,12,2013
2014-01-01,3836.37,1,2014
2014-02-01,3862.84,2,2014
2014-03-01,3898.38,3,2014
2014-04-01,3924.5,4,2014
2014-05-01,3942.55,5,2014
2014-06-01,3958.32,6,2014
2014-07-01,3958.72,7,2014
2014-08-01,3968.62,8,2014
2014-09-01,3991.24,9,2014
2014-10-01,4008.0,10,2014
2014-11-01,4028.44,11,2014
2014-12-01,4059.86,12,2014
2015-01-01,4110.2,1,2015
2015-02-01,4160.34,2,2015
2015-03-01,4215.26,3,2015
2015-04-01,4245.19,4,2015
2015-05-01,4276.6,5,2015
2015-06-01,4310.39,6,2015
2015-07-01,4337.11,7,2015
2015-08-01,4346.65,8,2015
2015-09-01,4370.12,9,2015
2015-10-01,4405.95,10,2015
2015-11-01,4450.45,11,2015
2015-12-01,4493.17,12,2015
2016-01-01,4550.23,1,2016
2016-02-01,4591.18,2,2016
2016-03-01,4610.92,3,2016
2016-04-01,4639.05,4,2016
2016-05-01,4675.23,5,2016
2016-06-01,4691.59,6,2016
2016-07-01,4715.99,7,2016
2016-08-01,4736.74,8,2016
2016-09-01,4740.53,9,2016
2016-10-01,4752.86,10,2016
2016-11-01,4761.42,11,2016
2016-12-01,4775.7,12,2016
2017-01-01,4793.85,1,2017
2017-02-01,4809.67,2,2017
2017-03-01,4821.69,3,2017
2017-04-01,4828.44,4,2017
2017-05-01,4843.41,5,2017
2017-06-01,4832.27,6,2017
2017-07-01,4843.87,7,2017
2017-08-01,4853.07,8,2017
2017-09-01,4860.83,9,2017
2017-10-01,4881.25,10,2017
2017-11-01,4894.92,11,2017
2017-12-01,4916.46,12,2017
2018-01-01,4930.72,1,2018
2018-02-01,4946.5,2,2018
2018-03-01,4950.95,3,2018
2018-04-01,4961.84,4,2018
2018-05-01,4981.69,5,2018
2018-06-01,5044.46,6,2018
2018-07-01,5061.11,7,2018
2018-08-01,5056.56,8,2018
2018-09-01,5080.83,9,2018
2018-10-01,5103.69,10,2018
2018-11-01,5092.97,11,2018
2018-12-01,5100.61,12,2018
2019-01-01,5116.93,1,2019
2019-02-01,5138.93,2,2019
2019-03-01,5177.47,3,2019
2019-04-01,5206.98,4,2019
2019-05-01,5213.75,5,2019
2019-06-01,5214.27,6,2019
2019-07-01,5224.18,7,2019
2019-08-01,5229.93,8,2019
2019-09-01,5227.84,9,2019
2019-10-01,5233.07,10,2019
2019-11-01,5259.76,11,2019
2019-12-01,5320.25,12,2019
2020-01-01,5331.42,1,2020
2020-02-01,5344.75,2,2020
2020-03-01,5348.49,3,2020
2020-04-01,5331.91,4,2020
2020-05-01,5311.65,5,2020
2020-06-01,5325.46,6,2020
2020-07-01,5344.63,7,2020
2020-08-01,5357.46,8,2020
2020-09-01,5391.75,9,2020
2020-10-01,5438.12,10,2020
2020-11-01,5486.52,11,2020
2020-12-01,5560.59,12,2020
2021-01-01,5574.49,1,2021
2021-02-01,5622.43,2,2021
2021-03-01,5674.72,3,2021
2021-04-01,5692.31,4,2021
2021-05-01,5739.56,5,2021
2021-06-01,5769.98,6,2021
2021-07-01,5825.37,7,2021
2021-08-01,5876.05,8,2021
2021-09-01,5944.21,9,2021
2021-10-01,6018.51,10,2021
2021-11-01,6075.69,11,2021
2021-12-01,6120.04,12,2021
2022-01-01,6153.09,1,2022
2022-02-01,6215.24,2,2022
2022-03-01,6315.93,3,2022
2022-04-01,6382.88,4,2022
2022-05-01,6412.88,5,2022
2022-06-01,6455.85,6,2022
2022-07-01,6411.95,7,2022
2022-08-01,6388.87,8,2022
2022-09-01,6370.34,9,2022
2022-10-01,6407.93,10,2022
2022-11-01,6434.2,11,2022
2022-12-01,6474.09,12,2022
2023-01-01,6508.4,1,2023
2023-02-01,6563.07,2,2023
2023-03-01,6609.67,3,2023
2023-04-01,6649.99,4,2023
2023-05-01,6665.28,5,2023
2023-06-01,6659.95,6,2023
2023-07-01,6667.94,7,2023
2023-08-01,6683.28,8,2023
2023-09-01,6700.66,9,2023
2023-10-01,6716.74,10,2023
2023-11-01,6735.55,11,2023
2023-12-01,6773.27,12,2023
2024-01-01,6801.72,1,2024
2024-02-01,6858.17,2,2024
2024-03-01,6869.14,3,2024
2024-04-01,6895.24,4,2024
2024-05-01,6926.96,5,2024
2024-06-01,6941.51,6,2024
2024-07-01,6967.89,7,2024
2024-08-01,6966.5,8,2024
2024-09-01,6997.15,9,2024
2024-10-01,7036.33,10,2024
2024-11-01,7063.77,11,2024
2024-12-01,7100.5,12,2024
2025-01-01,7111.86,1,2025
2025-02-01,7205.03,2,2025
2025-03-01,7245.38,3,2025
2025-04-01,7276.54,4,2025
2025-05-01,7295.46,5,2025
2025-06-01,7312.97,6,2025
2025-07-01,7331.98,7,2025
2025-08-01,7323.91,8,2025
2025-09-01,7359.06,9,2025
2025-10-01,7365.68,10,2025
2025-11-01,7378.94,11,2025
2025-12-01,7403.29,12,2025
2026-01-01,7427.72,1,2026
2026-02-01,7479.71,2,2026
2026-03-01,7545.53,3,2026
