nm_category,nm_brand,nm_model,nm_version,ethanol_city_efficiency,ethanol_road_efficiency,gasoline_city_efficiency,gasoline_road_efficiency
Sub Compacto,Fiat,Mobi,Trekking,9.8,10.6,14.0,15.1
Sub Compacto,Fiat,Mobi,Like,9.8,10.6,14.0,15.1
Compacto,Fiat,Argo,1,9.4,10.4,13.6,14.5
Compacto,Fiat,Argo,Drive 1.0,9.4,10.4,13.6,14.5
Compacto,Fiat,Argo,Drive 1.3 At,9.0,10.3,12.8,14.3
Compacto,Hyundai,Hb20,Sense,9.9,10.7,13.3,15.4
Compacto,Hyundai,Hb20,Comfort,9.9,10.7,13.3,15.4
Compacto,Hyundai,Hb20,Limited,9.9,10.7,13.3,15.4
Compacto,Hyundai,Hb20,Platinum,9.9,10.7,13.3,15.4
Compacto,Hyundai,Hb20,Se,9.9,10.7,13.3,15.4
Compacto,Hyundai,Hb20,Comfort,9.2,10.2,13.2,14.7
Compacto,Hyundai,Hb20,Platinum Safety,9.2,10.2,13.2,14.7
Compacto,Hyundai,Hb20,Se,9.2,10.2,13.2,14.7
Compacto,Peugeot,208,Style Mt,9.5,10.8,13.6,15.3
Compacto,Peugeot,208,Active Mt,9.5,10.8,13.6,15.3
Compacto,Peugeot,208,Allur T200,8.8,10.1,12.6,14.3
Compacto,Peugeot,208,Gt T200,8.3,9.7,12.0,13.7
Madio,Chevrolet,Onix,Mt,9.6,11.9,13.8,16.9
Madio,Chevrolet,Onix,Lt,9.6,11.9,13.8,16.9
Madio,Chevrolet,Onix,Lt,9.3,11.7,13.5,16.7
Madio,Chevrolet,Onix,At,8.2,10.5,12.0,14.8
Madio,Chevrolet,Onix,Lt,8.2,10.5,12.0,14.8
Madio,Chevrolet,Onix,Ltz,8.2,10.5,12.0,14.8
Madio,Chevrolet,Onix,Premier,8.2,10.5,12.0,14.8
Madio,Chevrolet,Onix,Rs,8.2,9.8,11.8,13.5
Madio,Chevrolet,Onix Plus,Lt,9.2,12.4,13.5,17.4
Madio,Chevrolet,Onix Plus,Lt2,9.7,12.2,13.9,17.4
Madio,Chevrolet,Onix Plus,Premier,8.5,11.0,12.0,15.6
Madio,Chevrolet,Onix Plus,Lt,8.5,11.0,12.0,15.6
Madio,Chevrolet,Onix Plus,Ltz,8.5,11.0,12.0,15.6
Madio,Chevrolet,Onix Plus,At,8.5,11.0,12.0,15.6
Madio,Chevrolet,Onix Plus (My26),Ltz,8.5,11.2,12.2,16.0
Madio,Chevrolet,Onix Plus (My26),Premier,8.5,11.2,12.2,16.0
Madio,Chevrolet,Onix Plus (My26),Mt,9.2,12.3,13.3,16.8
Madio,Chevrolet,Onix Plus (My26),Lt,8.5,11.2,12.2,16.0
Madio,Chevrolet,Onix Plus (My26),Mt,9.8,12.1,13.9,17.1
Madio,Chevrolet,Onix Plus (My26),At,8.5,11.2,12.2,16.0
Madio,Chevrolet,Onix (My26),At,8.6,10.9,12.1,15.3
Madio,Chevrolet,Onix (My26),100 Anos,9.5,11.3,13.5,16.3
Madio,Chevrolet,Onix (My26),Ltz,,,,
Madio,Chevrolet,Onix (My26),Premier,,,,
Madio,Chevrolet,Onix (My26),Rs,,,,
Madio,Chevrolet,Onix (My26),Mt,9.8,12.4,13.7,17.7
Madio,Chevrolet,Onix (My26),Lt,8.6,10.9,12.1,15.3
Madio,Chevrolet,Onix (My26),Mt,9.5,11.3,13.5,16.3
Madio,Chevrolet,Spin,Ls E,7.7,8.6,11.0,12.5
Madio,Chevrolet,Spin,Ls2,7.7,8.6,11.0,12.5
Madio,Chevrolet,Spin,Lt,7.7,8.6,11.0,12.5
Madio,Chevrolet,Spin,Lt,7.4,9.3,10.5,13.4
Madio,Chevrolet,Spin,At,7.4,9.3,10.5,13.4
Madio,Chevrolet,Spin,Ltz5,7.4,9.3,10.5,13.4
Madio,Chevrolet,Spin (My26.5),At,7.1,9.1,10.1,13.1
Madio,Chevrolet,Spin (My26.5),Lt,7.8,8.8,11.0,12.6
Madio,Chevrolet,Spin (My26.5),Lt,7.1,9.1,10.1,13.1
Madio,Fiat,Cronos,1,9.7,11.2,13.4,15.9
Madio,Fiat,Cronos,Drive 1.0,9.7,11.2,13.4,15.9
Madio,Fiat,Cronos,Drive1.3At,8.9,10.7,12.6,14.6
Madio,Fiat,Cronos,Prec 1.3At,8.9,10.7,12.6,14.6
Madio,Honda,City,Lx,9.3,10.4,12.8,15.5
Madio,Honda,City,Ex,9.3,10.4,12.8,15.5
Madio,Honda,City,Exl,9.3,10.4,12.8,15.5
Madio,Honda,City,Touring,9.3,10.4,12.8,15.5
Madio,Honda,City Hatch,Lx,9.2,10.5,13.2,15.0
Madio,Honda,City Hatch,Ex,9.2,10.5,13.2,15.0
Madio,Honda,City Hatch,Exl,9.2,10.5,13.2,15.0
Madio,Honda,City Hatch,Touring,9.2,10.5,13.2,15.0
Madio,Honda,City Hatch,Touring Sport,9.2,10.5,13.2,15.0
Madio,Honda,Hr-V,Ex Honda Sensing,8.8,9.9,12.5,13.9
Madio,Honda,Hr-V,Exl Honda Sensing,8.8,9.9,12.5,13.9
Madio,Honda,Hr-V,Advance,8.0,9.2,11.3,13.0
Madio,Honda,Hr-V,Touring,8.0,9.2,11.3,13.0
Madio,Honda,Hr-V (Mod. 26),Advance,8.1,9.1,11.5,12.9
Madio,Honda,Hr-V (Mod. 26),Touring,8.1,9.1,11.5,12.9
Madio,Hyundai,Hb20S,Comfort,9.7,10.9,13.4,15.4
Madio,Hyundai,Hb20S,Limited,9.7,10.9,13.4,15.4
Madio,Hyundai,Hb20S,Platinum,9.7,10.9,13.4,15.4
Madio,Hyundai,Hb20S,Se,9.7,10.9,13.4,15.4
Madio,Hyundai,Hb20S,Comfort,9.2,10.7,13.0,15.2
Madio,Hyundai,Hb20S,Platinum Safety,9.2,10.7,13.0,15.2
Madio,Hyundai,Hb20S,Se,9.2,10.7,13.0,15.2
Madio,Nissan,Versa,Sense Cvt,7.9,10.5,11.5,15.0
Madio,Nissan,Versa,Advnc Cvt,7.9,10.5,11.5,15.0
Madio,Nissan,Versa,Sr Cvt,7.9,10.5,11.5,15.0
Madio,Nissan,Versa,Excl Cvt,7.9,10.5,11.5,15.0
Madio,Volkswagen,Virtus,"Comfortline 200Tsi 
Automatico",8.3,10.2,12.1,14.7
Madio,Volkswagen,Virtus,"Highline 200Tsi 
Automatico",8.3,10.2,12.1,14.7
Madio,Volkswagen,Virtus,Tsi Automatico,8.5,10.4,12.2,14.9
Madio,Volkswagen,Virtus,Tsi Mecanico,9.2,11.2,13.2,15.8
Madio,Volkswagen,Virtus,Sense Tsi Mecanico,9.2,11.2,13.2,15.8
Madio,Volkswagen,Virtus,"Exclusive 250Tsi 
Automatico",8.1,9.9,11.7,14.0
Madio,Volkswagen,Polo,Tsi Mecanico,9.6,11.4,13.9,16.3
Madio,Volkswagen,Polo,Sense Tsi Automatico,9.0,11.1,13.1,16.1
Madio,Volkswagen,Polo,Mpi,9.3,10.9,13.5,15.7
Madio,Volkswagen,Polo,Track 1.0 Mpi,9.3,10.9,13.5,15.7
Madio,Volkswagen,Polo,Track Robust 1.0 Mpi,9.3,10.9,13.5,15.7
Madio,Volkswagen,Tera,Mpi,9.1,10.2,13.2,14.7
Grande,Toyota,Corolla Cross,Xr 20,7.6,8.8,11.2,13.0
Grande,Toyota,Corolla Cross,Xre 20,7.6,8.8,11.2,13.0
Grande,Toyota,Corolla Cross,Xrx 20,7.6,8.8,11.2,13.0
Grande,Toyota,Corolla Cross,Grs,7.6,8.8,11.2,13.0
Grande,Toyota,Corolla Cross,Xrv Hybrid,11.6,9.9,16.6,14.0
Grande,Toyota,Corolla Cross,Xrx Hybrid,11.6,9.9,16.6,14.0
Grande,Toyota,Corolla,Gli,8.0,10.0,11.9,14.5
Grande,Toyota,Corolla,Gli 20,8.0,10.0,11.9,14.5
Grande,Toyota,Corolla,Xei 20,8.0,10.0,11.9,14.5
Grande,Toyota,Corolla,Altis 20,8.0,10.0,11.9,14.5
Grande,Toyota,Corolla,Grs,8.0,10.0,11.9,14.5
Grande,Toyota,Corolla,Altis Hv,12.5,10.7,17.5,15.2
Grande,Toyota,Corolla,Apremiumh,12.5,10.7,17.5,15.2
Grande,Toyota,Corolla,Gli Hev,12.5,10.7,17.5,15.2
Extra Grande,Bmw,320I,M Sport Flex,7.4,9.0,10.5,13.1
Extra Grande,Bmw,320I,Sport Gp Flex,7.6,9.2,10.9,13.3
Extra Grande,Bmw,320I,Gp Flex,7.6,9.2,10.9,13.3
Extra Grande,Bmw,320I,Active Flex,7.1,8.6,10.0,12.3
Utilitario Esportivo Compacto,Caoa Chery,Tiggo 5X,Pro Ha,8.1,8.5,11.4,11.8
Utilitario Esportivo Compacto,Caoa Chery,Tiggo 5X,Pro,6.5,8.4,10.0,12.1
Utilitario Esportivo Compacto,Caoa Chery,Tiggo 5X,Sport,6.5,8.4,10.0,12.1
Utilitario Esportivo Compacto,Chevrolet,Tracker,Lt,8.0,9.8,11.6,13.7
Utilitario Esportivo Compacto,Chevrolet,Tracker,Mid,8.0,9.8,11.6,13.7
Utilitario Esportivo Compacto,Chevrolet,Tracker,At,8.0,9.8,11.6,13.7
Utilitario Esportivo Compacto,Chevrolet,Tracker,Ltz,8.0,9.8,11.6,13.7
Utilitario Esportivo Compacto,Chevrolet,Tracker,Rs,7.7,10.0,11.2,14.1
Utilitario Esportivo Compacto,Chevrolet,Tracker,Premier,7.7,10.0,11.2,14.1
Utilitario Esportivo Compacto,Chevrolet,Tracker (My26),Lt,8.1,9.9,11.5,13.8
Utilitario Esportivo Compacto,Chevrolet,Tracker (My26),Ltz,8.1,9.9,11.5,13.8
Utilitario Esportivo Compacto,Chevrolet,Tracker (My26),At,8.1,9.9,11.5,13.8
Utilitario Esportivo Compacto,Chevrolet,Tracker (My26),Lt,8.1,9.9,11.5,13.8
Utilitario Esportivo Compacto,Chevrolet,Tracker (My26),Ltz,8.1,9.9,11.5,13.8
Utilitario Esportivo Compacto,Chevrolet,Tracker (My26),Rs,7.6,9.7,11.0,13.7
Utilitario Esportivo Compacto,Chevrolet,Tracker (My26),Premier,7.6,9.7,11.0,13.7
Utilitario Esportivo Compacto,Chevrolet,Tracker (My26),100 Anos,7.6,9.7,11.0,13.7
Utilitario Esportivo Compacto,Chevrolet,Tracker (My26),Premier,7.6,9.7,11.0,13.7
Utilitario Esportivo Compacto,Citroen,Basalt,T200 1St,8.4,9.6,12.1,13.7
Utilitario Esportivo Compacto,Citroen,Basalt,Feel 1.0,9.2,10.1,13.2,14.3
Utilitario Esportivo Compacto,Citroen,Basalt,Shine T200,8.4,9.6,12.1,13.7
Utilitario Esportivo Compacto,Citroen,Basalt,Feel T200,8.4,9.6,12.1,13.7
Utilitario Esportivo Compacto,Citroen,C3,Feel 1.0,9.3,10.3,13.2,14.5
Utilitario Esportivo Compacto,Citroen,C3,Live 1.0,9.3,10.3,13.2,14.5
Utilitario Esportivo Compacto,Citroen,C3,Live Pk 1.0,9.3,10.3,13.2,14.5
Utilitario Esportivo Compacto,Citroen,C3,You 1.0T Cvt,8.1,8.9,11.5,12.9
Utilitario Esportivo Compacto,Citroen,C3 Aircross,Fl,7.9,9.1,11.2,13.0
Utilitario Esportivo Compacto,Citroen,C3 Aircross,Fl 7,7.9,9.1,11.2,13.0
Utilitario Esportivo Compacto,Citroen,C3 Aircross,Fl Pk,7.9,9.1,11.2,13.0
Utilitario Esportivo Compacto,Citroen,C3 Aircross,Flpk7,7.9,9.1,11.2,13.0
Utilitario Esportivo Compacto,Citroen,C3 Aircross,Sh,7.9,9.1,11.2,13.0
Utilitario Esportivo Compacto,Citroen,C3 Aircross,Sh 7,7.9,9.1,11.2,13.0
Utilitario Esportivo Compacto,Fiat,Argo,Trekking 1.3At,9.0,10.3,12.8,14.3
Utilitario Esportivo Compacto,Fiat,Fastback,Audace Hyb,8.9,9.8,12.6,13.9
Utilitario Esportivo Compacto,Fiat,Fastback,Impetus Hy,8.9,9.8,12.6,13.9
Utilitario Esportivo Compacto,Fiat,Fastback,Abarth 270,7.3,9.1,10.8,12.9
Utilitario Esportivo Compacto,Fiat,Fastback,Limited Ed,7.8,9.8,11.3,13.6
Utilitario Esportivo Compacto,Fiat,Fastback,Turbo 200,8.5,10.1,12.1,14.3
Utilitario Esportivo Compacto,Fiat,Pulse,Audace Hyb,9.3,10.2,13.4,14.4
Utilitario Esportivo Compacto,Fiat,Pulse,Impetus Hyb,9.3,10.2,13.4,14.4
Utilitario Esportivo Compacto,Fiat,Pulse,Drive At,8.9,10.5,13.0,14.7
Utilitario Esportivo Compacto,Fiat,Pulse,Drive Tf 200,8.6,10.0,12.3,14.4
Utilitario Esportivo Compacto,Fiat,Pulse,Abarth 270,7.2,8.8,10.5,12.2
Utilitario Esportivo Compacto,Honda,Wr-V,Ex,8.2,8.9,12.0,12.8
Utilitario Esportivo Compacto,Honda,Wr-V,Exl,8.2,8.9,12.0,12.8
Utilitario Esportivo Compacto,Hyundai,Creta,Comfort,8.4,9.0,12.0,12.7
Utilitario Esportivo Compacto,Hyundai,Creta,Limited,8.4,9.0,12.0,12.7
Utilitario Esportivo Compacto,Hyundai,Creta,Platinum,8.4,9.0,12.0,12.7
Utilitario Esportivo Compacto,Hyundai,Creta,N Line,8.4,9.0,12.0,12.7
Utilitario Esportivo Compacto,Jeep,Renegade,Spt T270,7.8,8.9,11.1,12.4
Utilitario Esportivo Compacto,Jeep,Renegade,Lgtd T270,7.8,8.9,11.1,12.4
Utilitario Esportivo Compacto,Jeep,Renegade,1.3 Turbo,7.8,8.9,11.1,12.4
Utilitario Esportivo Compacto,Jeep,Renegade,1.3 T Flex,7.8,8.9,11.1,12.4
Utilitario Esportivo Compacto,Jeep,Renegade,Sahara,7.8,8.9,11.1,12.4
Utilitario Esportivo Compacto,Nissan,Kicks Play,Sense,7.8,9.4,11.3,13.7
Utilitario Esportivo Compacto,Nissan,Kicks Play,Adv,7.8,9.4,11.3,13.7
Utilitario Esportivo Compacto,Nissan,Kicks Play,Active,7.8,9.4,11.3,13.7
Utilitario Esportivo Compacto,Nissan,Kicks,Sense At,8.3,9.9,11.7,14.3
Utilitario Esportivo Compacto,Nissan,Kicks,Advance At,8.3,9.9,11.7,14.3
Utilitario Esportivo Compacto,Nissan,Kicks,Exclusiv At,8.3,9.9,11.7,14.3
Utilitario Esportivo Compacto,Nissan,Kicks,Platinum At,8.3,9.9,11.7,14.3
Utilitario Esportivo Compacto,Peugeot,2008,Gt T200,8.5,9.8,12.0,14.1
Utilitario Esportivo Compacto,Peugeot,2008,Act T200,8.5,9.8,12.0,14.1
Utilitario Esportivo Compacto,Peugeot,2008,Allu T200,8.5,9.8,12.0,14.1
Utilitario Esportivo Compacto,Renault,Kwid,Zen,10.4,10.8,14.6,15.5
Utilitario Esportivo Compacto,Renault,Kwid,Intense,10.4,10.8,14.6,15.5
Utilitario Esportivo Compacto,Renault,Kwid,Outsider,10.4,10.8,14.6,15.5
Utilitario Esportivo Compacto,Renault,Kwid,Intense Biton,10.4,10.8,14.6,15.5
Utilitario Esportivo Compacto,Renault,Kwid,Iconic 2,10.4,10.8,14.6,15.5
Utilitario Esportivo Compacto,Renault,Kwid,Zen 2,10.4,10.7,14.4,15.4
Utilitario Esportivo Compacto,Renault,Kwid,Intense 2,10.4,10.7,14.4,15.4
Utilitario Esportivo Compacto,Renault,Kwid,Outsider 2,10.4,10.7,14.4,15.4
Utilitario Esportivo Compacto,Renault,Kwid,Intense Biton 2,10.4,10.7,14.4,15.4
Utilitario Esportivo Compacto,Renault,Kwid,Iconic 2,10.4,10.7,14.4,15.4
Utilitario Esportivo Compacto,Renault,Kwid,Life 2,10.4,10.7,14.4,15.4
Utilitario Esportivo Compacto,Renault,Kardian,Prem At,8.8,9.8,12.2,13.8
Utilitario Esportivo Compacto,Renault,Kardian,Tech At,8.8,9.8,12.2,13.8
Utilitario Esportivo Compacto,Renault,Kardian,Evo At,8.8,9.8,12.2,13.8
Utilitario Esportivo Compacto,Renault,Kardian,Evo Mt,8.6,10.2,12.4,14.8
Utilitario Esportivo Compacto,Volkswagen,T Cross,"Highline 250Tsi 
Automatico",8.2,9.9,11.8,14.2
Utilitario Esportivo Compacto,Volkswagen,T Cross,"Comfortline 200Tsi 
Automatico",8.5,10.2,12.1,14.5
Utilitario Esportivo Compacto,Volkswagen,T Cross,200Tsi Automatico,8.5,10.2,12.1,14.5
Utilitario Esportivo Compacto,Volkswagen,T Cross,"Sense 200Tsi 
Automatico",8.5,10.2,12.1,14.5
Utilitario Esportivo Compacto,Volkswagen,Nivus,"Highline 200Tsi 
Automatico",8.6,10.3,12.4,14.8
Utilitario Esportivo Compacto,Volkswagen,Nivus,"Comfortline 200Tsi 
Automatico",8.6,10.3,12.4,14.8
Utilitario Esportivo Compacto,Volkswagen,Tera,Comfort Tsi,8.6,10.3,12.2,14.5
Utilitario Esportivo Compacto,Volkswagen,Tera,High Tsi,8.6,10.3,12.2,14.5
Utilitario Esportivo Compacto,Volkswagen,Tera,Tsi,9.0,10.3,12.9,15.0
Utilitario Esportivo Grande,Caoa Chery,Tiggo 7,Pro Ha,7.8,8.3,11.1,11.6
Utilitario Esportivo Grande,Caoa Chery,Tiggo 7,Sport,6.4,8.3,10.1,12.3
Utilitario Esportivo Grande,Jeep,Commander,"Ovr T270 (""Mestre"")",7.0,8.3,9.9,11.4
Utilitario Esportivo Grande,Jeep,Commander,Lim T270,7.0,8.3,9.9,11.4
Utilitario Esportivo Grande,Jeep,Commander,Longitude,7.0,8.3,9.9,11.4
Utilitario Esportivo Grande,Jeep,Commander,Flex,7.0,8.3,9.9,11.4
Utilitario Esportivo Grande,Jeep,Commander,Ove 7 270 (My26),6.9,8.3,10.0,11.5
Utilitario Esportivo Grande,Jeep,Commander,Lim 7 270 (My26),6.9,8.3,10.0,11.5
Utilitario Esportivo Grande,Jeep,Commander,Lon 7 270 (My26),6.9,8.3,10.0,11.5
Utilitario Esportivo Grande,Jeep,Commander,Lon 5 270 (My26),7.2,8.4,10.2,11.5
Utilitario Esportivo Grande,Jeep,Compass,Limited T,7.3,8.6,10.1,12.1
Utilitario Esportivo Grande,Jeep,Compass,Long T,7.3,8.6,10.1,12.1
Utilitario Esportivo Grande,Jeep,Compass,Serie S T,7.3,8.6,10.1,12.1
Utilitario Esportivo Grande,Jeep,Compass,Sport T,7.3,8.6,10.1,12.1
Utilitario Esportivo Grande,Renault,Duster,Ico,7.5,8.3,10.8,11.4
Utilitario Esportivo Grande,Renault,Duster,Icop,7.5,8.3,10.8,11.4
Utilitario Esportivo Grande,Renault,Duster,Int,7.5,8.3,10.8,11.4
Utilitario Esportivo Grande,Renault,Duster,Intp,7.5,8.3,10.8,11.4
Utilitario Esportivo Grande,Renault,Duster,Lif,7.5,8.3,10.8,11.4
Utilitario Esportivo Grande,Renault,Duster,Zen,7.5,8.3,10.8,11.4
Utilitario Esportivo Grande,Renault,Duster,Duster Int 16,7.6,8.4,11.2,12.3
Utilitario Esportivo Grande,Renault,Duster,Duster Intp Mt,7.6,8.4,11.2,12.3
Utilitario Esportivo Grande,Renault,Duster,Duster Zen 16,7.6,8.4,11.2,12.3
Utilitario Esportivo Grande,Renault,Duster,Ico Tce,7.5,8.6,10.9,12.3
Utilitario Esportivo Grande,Renault,Duster,Icout Tce,7.5,8.6,10.9,12.3
Utilitario Esportivo Grande,Renault,Duster,Zen 13Tce,7.5,8.6,10.9,12.3
Utilitario Esportivo Grande,Renault,Boreal,Evo,7.8,9.4,11.2,13.6
Utilitario Esportivo Grande,Renault,Boreal,Tech,7.8,9.4,11.2,13.6
Utilitario Esportivo Grande,Renault,Boreal,Ico,7.8,9.4,11.2,13.6
Utilitario Esportivo Grande,Volkswagen,Taos,"Comfortline 250Tsi 
Automatico",7.7,9.3,11.1,13.3
Utilitario Esportivo Grande,Volkswagen,Taos,"Highline 250Tsi 
Automatico",7.7,9.3,11.1,13.3
Fora De Estrada Compacto,Jeep,Renegade,S T2704X4T,6.3,7.4,9.2,10.1
Fora De Estrada Compacto,Jeep,Renegade,Trail 4X4,6.3,7.4,9.2,10.1
Fora De Estrada Compacto,Jeep,Renegade,Willys 4X4,6.3,7.4,9.2,10.1
Fora De Estrada Grande,Land Rover,Evoque,P250Ff Ab,5.1,6.6,7.4,9.4
Fora De Estrada Grande,Land Rover,Discovery Sport,P250Ff Se D,5.1,6.6,7.2,9.6
Fora De Estrada Grande,Land Rover,Discovery Sport,P250Ff Sed7L,5.1,6.6,7.2,9.6
Minivan,Chevrolet,Spin,Lt7,7.7,8.6,11.0,12.5
Minivan,Chevrolet,Spin,Lt7,7.4,9.3,10.5,13.4
Minivan,Chevrolet,Spin,Ltz,7.4,9.3,10.5,13.4
Minivan,Chevrolet,Spin,Premier,7.4,9.3,10.5,13.4
Minivan,Chevrolet,Spin (My26.5),Ltz,7.1,9.1,10.1,13.1
Minivan,Chevrolet,Spin (My26.5),Premier,7.1,9.1,10.1,13.1
Comercial,Chevrolet,Onix,Log,9.6,11.9,13.8,16.9
Comercial,Fiat,Fiorino,Endurance,8.7,9.6,12.4,13.6
Comercial,Peugeot,Partrapid,Busipk,8.7,9.6,12.4,13.6
Comercial,Renault,Kangoo,Adv16,7.6,8.1,11.0,11.7
Comercial,Renault,Kangoo,Ex Pro,7.6,8.1,11.0,11.7
Comercial,Renault,Kangoo,Srt16,7.6,8.1,11.0,11.7
Picape Compacta,Chevrolet,Montana,Mt,8.4,9.7,12.3,13.7
Picape Compacta,Chevrolet,Montana,Lt,8.4,9.7,12.3,13.7
Picape Compacta,Chevrolet,Montana,Ltz,7.5,9.7,11.0,13.5
Picape Compacta,Chevrolet,Montana,Premier,7.5,9.7,11.0,13.5
Picape Compacta,Chevrolet,Montana,Rs,7.5,9.7,11.0,13.5
Picape Compacta,Fiat,Strada,Enduran Cs13,9.1,10.1,13.0,14.7
Picape Compacta,Fiat,Strada,Freedom Cs13,9.1,10.1,13.0,14.7
Picape Compacta,Fiat,Strada,Freedom Cd13,8.9,10.1,12.8,14.4
Picape Compacta,Fiat,Strada,Volcano Cd13,8.9,9.8,12.4,13.9
Picape Compacta,Fiat,Strada,Volcano 13At,8.9,9.7,12.6,13.5
Picape Compacta,Fiat,Strada,Ranch T200At,8.3,9.2,11.9,13.1
Picape Compacta,Fiat,Strada,Ultra T200At,8.3,9.2,11.9,13.1
Picape Compacta,Renault,Oroch,Intense16M,7.6,8.1,11.3,11.7
Picape Compacta,Renault,Oroch,Pro 16,7.6,8.1,11.3,11.7
Picape Compacta,Volkswagen,Saveiro,"Saveiro Cabine Simples 
Robust Mf",7.7,8.8,11.2,12.9
Picape Compacta,Volkswagen,Saveiro,"Cabine Simples 
Trendline Mf",7.7,8.8,11.2,12.9
Picape Compacta,Volkswagen,Saveiro,Cabine Dupla Robust Mf,7.9,8.7,11.3,12.4
Picape Compacta,Volkswagen,Saveiro,"Cabine Dupla Extreme 
Mf",7.9,8.7,11.3,12.4
