Categoria,Marca,Modelo,Vers�o,Combust��vel,Etanol - Cidade,Etanol  - Estrada,Gasolina ou Diesel - Cidade,Gasolina ou Diesel - Estrada,El�trico - Cidade,El�trico - Estrada
Sub Compacto,BYD,DOLPHIN MINI,GS EV,E,,,,,58.6,41.9
Sub Compacto,BYD,DOLPHIN MINI,GS 5 EV,E,,,,,58.6,41.9
Sub Compacto,BYD,DOLPHIN MINI,GL5EV,E,,,,,60.6,44.4
Sub Compacto,CAOA CHERY,ICAR EQ1,TEC,E,,,,,50.8,38.6
Sub Compacto,FIAT,500E,ICON,E,,,,,47.3,40.4
Sub Compacto,FIAT,MOBI,TREKKING,F,9.8,10.6,14,15.1,,
Sub Compacto,FIAT,MOBI,LIKE,F,9.8,10.6,14,15.1,,
Sub Compacto,JAC,e-JS1,e-JS1,E,,,,,46.6,35
Sub Compacto,JAC,e-JS1,e-JS1 EXT,E,,,,,46.6,35
Sub Compacto,Renault,E-KWID,INTENS,E,,,,,52.7,39.6
Compacto,FIAT,ARGO,1,F,9.4,10.4,13.6,14.5,,
Compacto,FIAT,ARGO,DRIVE 1.0,F,9.4,10.4,13.6,14.5,,
Compacto,FIAT,ARGO,DRIVE 1.3 AT,F,9,10.3,12.8,14.3,,
Compacto,Hyundai,HB20,Sense,F,9.9,10.7,13.3,15.4,,
Compacto,Hyundai,HB20,Comfort,F,9.9,10.7,13.3,15.4,,
Compacto,Hyundai,HB20,Limited,F,9.9,10.7,13.3,15.4,,
Compacto,Hyundai,HB20,Platinum,F,9.9,10.7,13.3,15.4,,
Compacto,Hyundai,HB20,SE,F,9.9,10.7,13.3,15.4,,
Compacto,Hyundai,HB20,Comfort,F,9.2,10.2,13.2,14.7,,
Compacto,Hyundai,HB20,Platinum Safety,F,9.2,10.2,13.2,14.7,,
Compacto,Hyundai,HB20,SE,F,9.2,10.2,13.2,14.7,,
Compacto,MINI,Cooper,S 3P EXCLUSIVE,G,,,11.5,14,,
Compacto,MINI,Cooper,S 3P SPORT,G,,,11.5,14,,
Compacto,MINI,Cooper,S 3P TOP,G,,,11.5,14,,
Compacto,MINI,Cooper,S CABRIO,G,,,11.2,14.6,,
Compacto,MINI,Cooper,E,E,,,,,48.1,38.5
Compacto,MINI,Cooper,SE,E,,,,,45.2,37.3
Compacto,MINI,JCW-E,3P,E,,,,,43.8,40.2
Compacto,MINI,JCW,3P,G,,,10.8,13.9,,
Compacto,MINI,JCW,CABRIO,G,,,10.1,12.8,,
Compacto,NETA,AYA,COMFORT 4S,E,,,,,52.9,42.7
Compacto,NETA,AYA,LUXURY 4S,E,,,,,52.9,42.7
Compacto,PEUGEOT,208,STYLE MT,F,9.5,10.8,13.6,15.3,,
Compacto,PEUGEOT,208,ACTIVE MT,F,9.5,10.8,13.6,15.3,,
Compacto,PEUGEOT,208,ALLUR T200,F,8.8,10.1,12.6,14.3,,
Compacto,PEUGEOT,208,GT T200,F,8.3,9.7,12,13.7,,
Compacto,PEUGEOT,E-208,GT,E,,,,,37.8,30.8
Médio,AUDI,A3 Spotback,Peformance (ed.0),G,,,9.7,12.7,,
Médio,AUDI,A3 Spotback,Performance Black (ed.0),G,,,9.7,12.7,,
Médio,AUDI,A3 Spotback,Peformance,G,,,10.2,12.4,,
Médio,AUDI,A3 Spotback,Performance Black,G,,,10.2,12.4,,
Médio,BYD,DOLPHIN,GS 180EV,E,,,,,51.9,43.5
Médio,BYD,DOLPHIN,PLUS 310EV,E,,,,,42.1,36.8
Médio,BYD,YUAN PRO,GS 290EV,E,,,,,44,35.7
Médio,CAOA CHERY,TIGGO 7,PHEV,G,,,12.3,11.9,36.4,28.8
