,nm_category,nm_brand,nm_model,nm_version,ethanol_city_efficiency,ethanol_road_efficiency,gasoline_city_efficiency,gasoline_road_efficiency
0,Sub Compacto,Fiat,Mobi,Trekking,9.8,10.6,14.0,15.1
1,Sub Compacto,Fiat,Mobi,Like,9.8,10.6,14.0,15.1
2,Compacto,Fiat,Argo,1,9.4,10.4,13.6,14.5
3,Compacto,Fiat,Argo,Drive 1.0,9.4,10.4,13.6,14.5
4,Compacto,Fiat,Argo,Drive 1.3 At,9.0,10.3,12.8,14.3
5,Compacto,Hyundai,Hb20,Sense,9.9,10.7,13.3,15.4
6,Compacto,Hyundai,Hb20,Comfort,9.9,10.7,13.3,15.4
7,Compacto,Hyundai,Hb20,Limited,9.9,10.7,13.3,15.4
8,Compacto,Hyundai,Hb20,Platinum,9.9,10.7,13.3,15.4
9,Compacto,Hyundai,Hb20,Se,9.9,10.7,13.3,15.4
10,Compacto,Hyundai,Hb20,Comfort,9.2,10.2,13.2,14.7
11,Compacto,Hyundai,Hb20,Platinum Safety,9.2,10.2,13.2,14.7
12,Compacto,Hyundai,Hb20,Se,9.2,10.2,13.2,14.7
13,Compacto,Peugeot,208,Style Mt,9.5,10.8,13.6,15.3
14,Compacto,Peugeot,208,Active Mt,9.5,10.8,13.6,15.3
15,Compacto,Peugeot,208,Allur T200,8.8,10.1,12.6,14.3
16,Compacto,Peugeot,208,Gt T200,8.3,9.7,12.0,13.7
17,Mã©Dio,Chevrolet,Onix,Mt,9.6,11.9,13.8,16.9
18,Mã©Dio,Chevrolet,Onix,Lt,9.6,11.9,13.8,16.9
19,Mã©Dio,Chevrolet,Onix,Lt,9.3,11.7,13.5,16.7
20,Mã©Dio,Chevrolet,Onix,At,8.2,10.5,12.0,14.8
21,Mã©Dio,Chevrolet,Onix,Lt,8.2,10.5,12.0,14.8
22,Mã©Dio,Chevrolet,Onix,Ltz,8.2,10.5,12.0,14.8
23,Mã©Dio,Chevrolet,Onix,Premier,8.2,10.5,12.0,14.8
24,Mã©Dio,Chevrolet,Onix,Rs,8.2,9.8,11.8,13.5
25,Mã©Dio,Chevrolet,Onix Plus,Lt,9.2,12.4,13.5,17.4
26,Mã©Dio,Chevrolet,Onix Plus,Lt2,9.7,12.2,13.9,17.4
27,Mã©Dio,Chevrolet,Onix Plus,Premier,8.5,11.0,12.0,15.6
28,Mã©Dio,Chevrolet,Onix Plus,Lt,8.5,11.0,12.0,15.6
29,Mã©Dio,Chevrolet,Onix Plus,Ltz,8.5,11.0,12.0,15.6
30,Mã©Dio,Chevrolet,Onix Plus,At,8.5,11.0,12.0,15.6
31,Mã©Dio,Chevrolet,Onix Plus (My26),Ltz,8.5,11.2,12.2,16.0
32,Mã©Dio,Chevrolet,Onix Plus (My26),Premier,8.5,11.2,12.2,16.0
33,Mã©Dio,Chevrolet,Onix Plus (My26),Mt,9.2,12.3,13.3,16.8
34,Mã©Dio,Chevrolet,Onix Plus (My26),Lt,8.5,11.2,12.2,16.0
35,Mã©Dio,Chevrolet,Onix Plus (My26),Mt,9.8,12.1,13.9,17.1
36,Mã©Dio,Chevrolet,Onix Plus (My26),At,8.5,11.2,12.2,16.0
37,Mã©Dio,Chevrolet,Onix (My26),At,8.6,10.9,12.1,15.3
38,Mã©Dio,Chevrolet,Onix (My26),100 Anos,9.5,11.3,13.5,16.3
39,Mã©Dio,Chevrolet,Onix (My26),Ltz,,,,
40,Mã©Dio,Chevrolet,Onix (My26),Premier,,,,
41,Mã©Dio,Chevrolet,Onix (My26),Rs,,,,
42,Mã©Dio,Chevrolet,Onix (My26),Mt,9.8,12.4,13.7,17.7
43,Mã©Dio,Chevrolet,Onix (My26),Lt,8.6,10.9,12.1,15.3
44,Mã©Dio,Chevrolet,Onix (My26),Mt,9.5,11.3,13.5,16.3
45,Mã©Dio,Chevrolet,Spin,Ls E,7.7,8.6,11.0,12.5
46,Mã©Dio,Chevrolet,Spin,Ls2,7.7,8.6,11.0,12.5
47,Mã©Dio,Chevrolet,Spin,Lt,7.7,8.6,11.0,12.5
48,Mã©Dio,Chevrolet,Spin,Lt,7.4,9.3,10.5,13.4
